Transaction_ID,Product_ID,Category,Price,Discount,Promotion_Flag,Customer_Age,Gender,Region,Month,Holiday_Flag,Weekend_Flag,Payment_Method,Store_Type,Loyalty_Status,Customer_Satisfaction,Delivery_Time_Days,Return_Flag,Shipping_Cost,Stock_Availability,Season,Customer_Income,Review_Score,Units_Sold,Loyalty_Points,Revenue,Profit
T100000,P1000,Clothing,35.95,11.6,1,69.0,Female,North,5,0,0,Wallet,Offline,Bronze,5,6,0,19.09,0,Spring,67086.0,2.0,258,25,6282.3,1256.46
T100001,P1001,Sports,10.24,2.33,1,68.0,Male,East,1,0,0,Debit Card,Offline,Gold,2,4,0,0.46,0,Summer,84225.0,,240,24,1898.4,189.84
T100002,P1002,Grocery,40.91,47.26,0,21.0,Male,North,9,0,0,Cash,Online,Bronze,2,4,0,41.01,0,Summer,118827.0,2.0,327,32,-2076.45,-103.82
T100003,P1003,Grocery,103.49,15.69,1,31.0,Male,North,2,0,1,Debit Card,Online,Silver,3,9,0,8.46,0,Winter,122490.0,5.0,343,34,30115.4,1505.77
T100004,P1004,Electronics,79.55,22.13,1,46.0,Male,North,7,0,0,Debit Card,Offline,Gold,2,1,0,35.9,0,Winter,,1.0,329,32,18891.18,4722.8
T100005,P1005,Electronics,73.68,5.73,0,31.0,Male,East,12,0,1,Cash,Online,Platinum,3,6,0,0.76,0,Spring,,2.0,232,23,15764.4,3941.1
T100006,P1006,Electronics,44.88,41.85,0,,Male,East,8,0,1,Wallet,Online,Gold,1,4,0,5.55,0,Summer,52206.0,3.0,325,32,984.75,246.19
T100007,P1007,Home,22.3,,1,26.0,Male,South,8,0,0,Cash,Offline,Silver,2,3,0,24.18,0,Winter,27018.0,2.0,224,22,4686.08,702.91
T100008,P1008,Grocery,78.31,41.7,0,43.0,Male,North,1,0,0,Wallet,Online,Gold,2,1,0,3.39,0,Winter,78953.0,3.0,347,34,12703.67,635.18
T100009,P1009,Grocery,30.45,7.01,0,66.0,Male,North,10,0,1,Credit Card,Offline,Bronze,5,5,0,44.43,0,Spring,34626.0,1.0,229,22,5367.76,268.39
T100010,P1010,Electronics,251.86,44.33,1,64.0,Male,North,7,0,0,Credit Card,Offline,Silver,1,4,0,37.49,0,Winter,52167.0,1.0,422,42,87577.66,21894.42
T100011,P1011,Sports,81.4,36.49,1,59.0,Female,South,9,0,0,Credit Card,Offline,Silver,3,4,0,16.41,0,Winter,104916.0,5.0,392,39,17604.72,1760.47
T100012,P1012,Home,36.36,8.23,1,34.0,Female,North,11,0,0,UPI,Offline,Bronze,1,8,0,29.88,0,Winter,64883.0,5.0,247,24,6948.11,1042.22
T100013,P1013,Clothing,35.59,28.29,0,,Male,West,11,0,0,Wallet,Offline,Bronze,4,2,0,35.78,0,Winter,77631.0,1.0,255,25,1861.5,372.3
T100014,P1014,Electronics,51.16,15.63,1,21.0,Male,West,3,0,1,Wallet,Online,Platinum,5,4,0,37.77,0,Autumn,,2.0,328,32,11653.84,2913.46
T100015,P1015,Electronics,46.17,8.91,0,63.0,Male,North,8,1,1,Cash,Offline,Silver,4,1,1,19.78,0,Spring,48036.0,2.0,282,28,10507.32,2626.83
T100016,P1016,Clothing,119.32,42.96,1,20.0,Female,North,8,0,0,Wallet,Offline,Gold,3,2,0,44.94,0,Spring,60604.0,5.0,445,44,33980.2,6796.04
T100017,P1017,Grocery,62.21,20.18,0,46.0,Female,North,9,0,0,Cash,Online,Bronze,2,3,0,47.09,0,Autumn,73466.0,2.0,236,23,9919.08,495.95
T100018,P1018,Clothing,32.72,19.93,0,42.0,Male,North,8,1,0,UPI,Online,Platinum,2,1,0,9.79,0,Winter,135033.0,2.0,351,35,4489.29,897.86
T100019,P1019,Clothing,205.06,8.49,1,38.0,Male,South,5,0,1,Cash,Offline,Bronze,2,2,0,45.56,0,Summer,61994.0,2.0,271,27,53270.47,10654.09
T100020,P1020,Grocery,56.52,19.15,0,29.0,Male,East,5,0,0,Credit Card,Offline,Bronze,3,7,0,35.63,0,Winter,148028.0,2.0,247,24,9230.39,461.52
T100021,P1021,Electronics,93.52,43.58,1,18.0,Female,North,3,0,1,Cash,Offline,Platinum,4,6,0,44.41,0,Autumn,50331.0,3.0,468,46,23371.92,5842.98
T100022,P1022,Clothing,35.67,18.16,1,18.0,Female,East,12,1,0,Cash,Offline,Silver,3,2,0,21.24,0,Winter,90251.0,5.0,383,38,6706.33,1341.27
T100023,P1023,Clothing,70.4,47.58,0,62.0,Female,South,6,0,1,Cash,Online,Gold,3,1,0,33.06,0,Spring,82099.0,1.0,358,35,8169.56,1633.91
T100024,P1024,Grocery,67.88,47.32,0,63.0,Female,West,10,0,0,Wallet,Offline,Bronze,4,9,0,11.77,0,Winter,79434.0,1.0,332,33,6825.92,341.3
T100025,P1025,Grocery,14.54,7.24,0,65.0,Male,South,3,0,1,Debit Card,Offline,Silver,2,1,0,37.56,0,Summer,143461.0,3.0,244,24,1781.2,89.06
T100026,P1026,Electronics,223.79,8.87,1,24.0,Male,East,2,0,0,Debit Card,Offline,Platinum,5,5,0,29.09,0,Spring,132775.0,5.0,275,27,59103.0,14775.75
T100027,P1027,Grocery,134.75,43.13,1,27.0,Male,North,7,1,1,Debit Card,Offline,Platinum,3,9,0,24.05,1,Winter,45772.0,3.0,599,59,54880.38,2744.02
T100028,P1028,Grocery,41.35,,1,32.0,Male,East,10,0,0,Wallet,Online,Platinum,3,9,0,34.63,0,Winter,96142.0,5.0,379,37,8228.09,411.4
T100029,P1029,Electronics,25.24,0.22,1,,Male,North,3,0,0,Credit Card,Online,Silver,4,6,1,27.62,0,Summer,46433.0,3.0,198,19,4953.96,1238.49
